id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number
0,Dennis Rodman,CHI,36,198.12,99.79024,Southeastern Oklahoma State,USA,1986,2,27
1,Dwayne Schintzius,LAC,28,215.9,117.93392,Florida,USA,1990,1,24
2,Earl Cureton,TOR,39,205.74,95.25432,Detroit Mercy,USA,1979,3,58
3,Ed O'Bannon,DAL,24,203.2,100.697424,UCLA,USA,1995,1,9
4,Ed Pinckney,MIA,34,205.74,108.86208,Villanova,USA,1985,1,10
5,Eddie Johnson,HOU,38,200.66,97.52228,Illinois,USA,1981,2,29
6,Eddie Jones,LAL,25,198.12,86.18248,Temple,USA,1994,1,10
7,Elden Campbell,LAL,28,213.36,113.398,Clemson,USA,1990,1,27
8,Eldridge Recasner,ATL,29,193.04,86.18248,Washington,USA,1992,Undrafted,Undrafted
9,Elliot Perry,MIL,28,182.88,72.57472,Memphis,USA,1991,2,37
10,Elmer Bennett,DEN,27,182.88,77.11064,Notre Dame,USA,1992,2,38